method,model,n_known_anomalies,roc_auc,pr_auc,train_time_sec,inference_time_sec,total_time_sec,representation,k_per_class,dataset,encoder,date
DevNet (Original),DevNet,5,0.09249999999999999,0.028473018959452367,0.07597857099972316,0.0030662170001960476,0.07904478799991921,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
DevNet (Original),DevNet,10,0.133,0.029161088105706272,0.06985862299916334,0.00988545600012003,0.07974407899928337,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
DevNet (Original),DevNet,20,0.242,0.032611445383275275,0.10736033800003497,0.004417081000610779,0.11177741900064575,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"DevNet (SetFit, k=40)",DevNet,5,0.9924999999999999,0.8998412698412698,0.10759684799995739,0.004306752999582386,0.11190360099953978,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"DevNet (SetFit, k=40)",DevNet,10,0.8965,0.808650838633835,0.10790087300028972,0.004533081999397837,0.11243395499968756,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"DevNet (SetFit, k=40)",DevNet,20,0.9875,0.8846031746031746,0.1007948699998451,0.004447243999493367,0.10524211399933847,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
DeepSAD (Original),DeepSAD,5,0.8325,0.285081874647092,1.1656332410002506,0.02006032399913238,1.185693564999383,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
DeepSAD (Original),DeepSAD,10,0.883,0.3668122291651703,2.3520712769995953,0.0191252060003535,2.371196482999949,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
DeepSAD (Original),DeepSAD,20,0.9865,0.8826388888888889,2.411539819999234,0.009936190999724204,2.4214760109989584,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"DeepSAD (SetFit, k=40)",DeepSAD,5,0.9530000000000001,0.7461649836649836,1.5018561679999038,0.004354704999968817,1.5062108729998727,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"DeepSAD (SetFit, k=40)",DeepSAD,10,0.981,0.8081411862990809,1.3639694410003358,0.008659578999868245,1.372629020000204,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"DeepSAD (SetFit, k=40)",DeepSAD,20,0.9524999999999999,0.8915269196822594,1.479475053999522,0.008932388999710383,1.4884074429992324,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
MLP (Original),MLP,5,0.9635,0.5709654818865345,9.539242124000339,0.6956234119998044,10.234865536000143,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
MLP (Original),MLP,10,0.9830000000000001,0.7345063732563731,7.060611210000388,0.7404253760005304,7.801036586000919,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
MLP (Original),MLP,20,0.999,0.9809090909090908,4.182882129000063,0.24677519499982736,4.429657323999891,Original,0,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"MLP (SetFit, k=40)",MLP,5,0.9844999999999999,0.6702380952380953,2.970556512999792,0.2769217459999709,3.247478258999763,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"MLP (SetFit, k=40)",MLP,10,0.9874999999999999,0.7953463203463204,2.9617301879998195,0.24894642700019176,3.2106766150000112,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
"MLP (SetFit, k=40)",MLP,20,0.99,0.8721320346320346,3.623016196000208,0.356480960999761,3.979497156999969,SetFit,40,20_newsgroups,distiluse-base-multilingual-cased-v2,20260220_014255
